Entity,,Year,Annual COâ‚‚ emissions (tonnes ),
Laos,,2005,1377311.01,
Latvia,,2000,7099045.69,
Latvia,,2001,7516325.91,
Latvia,,2002,7542934.27,
Latvia,,2003,7740669.66,
Latvia,,2004,7750956.32,
Latvia,,2005,7835154.95,
Lebanon,,2000,15466264,
Lebanon,,2001,16406232.5,
Lebanon,,2002,16244385,
Lebanon,,2003,18527469.1,
Lebanon,,2004,17207687.5,
Lebanon,,2005,16653479.6,
Lesotho,,2000,1850320,
Lesotho,,2001,1875968,
Lesotho,,2002,1905280,
Lesotho,,2003,1930928,
Lesotho,,2004,1982224,
Lesotho,,2005,2011536,
Liberia,,2000,414446.27,
Liberia,,2001,484647.55,
Liberia,,2002,482307.35,
Liberia,,2003,518107.78,
Liberia,,2004,603735.57,
Liberia,,2005,710465.7,
Libya,,2000,46792991.7,
Libya,,2001,47773798,
Libya,,2002,47472203.4,
Libya,,2003,48780984.5,
Libya,,2004,49955833.9,
Libya,,2005,51696285,
Lithuania,,2000,11788024.4,
Lithuania,,2001,12496126.3,
Lithuania,,2002,12602371.8,
Lithuania,,2003,12591879.8,
Lithuania,,2004,13167324.7,
Lithuania,,2005,14089324,
Luxembourg,,2000,8672869.96,
Luxembourg,,2001,9166124.34,
Luxembourg,,2002,9942247.96,
Luxembourg,,2003,10411633.5,
Luxembourg,,2004,11785231.6,
Luxembourg,,2005,12048396.3,
Macao,,2000,1630480,
Macao,,2001,1685440,
Macao,,2002,1516896,
Macao,,2003,1531552,
Macao,,2004,1714752,
Macao,,2005,1828336,
Macedonia,,2000,12054560,
Macedonia,,2001,11988608,
Macedonia,,2002,10926048,
Macedonia,,2003,11299776,
Macedonia,,2004,11182528,
Macedonia,,2005,11270464,
Madagascar,,2000,1867464.39,
Madagascar,,2001,1735477.87,
Madagascar,,2002,1231908.2,
Madagascar,,2003,1680474.06,
Madagascar,,2004,1789365.88,
Madagascar,,2005,1725393.7,
Malawi,,2000,853849.16,
Malawi,,2001,847124.96,
Malawi,,2002,839323.75,
Malawi,,2003,900011.76,
Malawi,,2004,918839.57,
Malawi,,2005,858438.75,
Malaysia,,2000,124539387,
Malaysia,,2001,134167156,
Malaysia,,2002,132216453,
Malaysia,,2003,156393494,
Malaysia,,2004,162088015,
Malaysia,,2005,172486571,
Maldives,,2000,450672,
Maldives,,2001,461664,
Maldives,,2002,593568,
Maldives,,2003,505632,
Maldives,,2004,666848,
Maldives,,2005,600896,
Mali,,2000,820736,
Mali,,2001,828064,
Mali,,2002,846384,
Mali,,2003,842720,
Mali,,2004,875696,
Mali,,2005,897680,
Malta,,2000,2570868.55,
Malta,,2001,2468113.67,
Malta,,2002,2443918.73,
Malta,,2003,2662357.63,
Malta,,2004,2557276.53,
Malta,,2005,2666019.46,
Marshall Islands,,2000,76944,
Marshall Islands,,2001,80608,
Marshall Islands,,2002,84272,
Marshall Islands,,2003,84272,
Marshall Islands,,2004,87936,
Marshall Islands,,2005,84272,
Martinique,,2000,1740400,
Martinique,,2001,1817344,
Martinique,,2002,1784368,
Martinique,,2003,1996880,
Martinique,,2004,2070160,
Martinique,,2005,2202064,
Mauritania,,2000,1113856,
Mauritania,,2001,1172480,
Mauritania,,2002,1249424,
Mauritania,,2003,1289728,
Mauritania,,2004,1384992,
Mauritania,,2005,1436288,
Mauritius,,2000,2689376,
Mauritius,,2001,2861584,
Mauritius,,2002,2883568,
Mauritius,,2003,3059440,
Mauritius,,2004,3088752,
Mauritius,,2005,3293936,
Mexico,,2000,397899666,
Mexico,,2001,412627401,
Mexico,,2002,413972576,
Mexico,,2003,439786050,
Mexico,,2004,440799635,
Mexico,,2005,465913628,
Micronesia (country),,2000,124576,
Micronesia (country),,2001,168544,
Micronesia (country),,2002,142896,
Micronesia (country),,2003,142896,
Micronesia (country),,2004,142896,
Micronesia (country),,2005,120912,
Middle East,,2000,1360259152,
Middle East,,2001,1379449534,
Middle East,,2002,1397903305,
Middle East,,2003,1489191121,
Middle East,,2004,1620716642,
Middle East,,2005,1684303045,
Moldova,,2000,3572952,
Moldova,,2001,3786588.7,
Moldova,,2002,4051735.7,
Moldova,,2003,4404267.6,
Moldova,,2004,4613424.5,
Moldova,,2005,4937753.7,
Mongolia,,2000,7486846,
Mongolia,,2001,7869924,
Mongolia,,2002,8262520,
Mongolia,,2003,8007876,
Mongolia,,2004,8570716,
Mongolia,,2005,8573730,
Montenegro,,2000,1738422.42,
Montenegro,,2001,1867584.5,
Montenegro,,2002,1996591.7,
Montenegro,,2003,2135200.88,
Montenegro,,2004,2333590.12,
Montenegro,,2005,2208919.29,
Montserrat,,2000,25648,
Montserrat,,2001,25648,
Montserrat,,2002,36640,
Montserrat,,2003,36640,
Montserrat,,2004,36640,
Montserrat,,2005,36640,
Morocco,,2000,33576916,
Morocco,,2001,37425861.4,
Morocco,,2002,38073956.6,
Morocco,,2003,37495410.2,
Morocco,,2004,43362160,
Morocco,,2005,45525104,
Mozambique,,2000,1322771.19,
Mozambique,,2001,1553870.18,
Mozambique,,2002,1538610.35,
Mozambique,,2003,1856679.45,
Mozambique,,2004,1864546.49,
Mozambique,,2005,1770736.89,
Myanmar,,2000,10042497.8,
Myanmar,,2001,8680244.72,
Myanmar,,2002,9153798.8,
Myanmar,,2003,9780171.42,
Myanmar,,2004,12371229.3,
Myanmar,,2005,11532641.6,
Namibia,,2000,1641472,
Namibia,,2001,2015200,
Namibia,,2002,1758720,
Namibia,,2003,1872304,
Namibia,,2004,1960240,
Namibia,,2005,2308320,
Nauru,,2000,84272,
Nauru,,2001,80608,
Nauru,,2002,76944,
Nauru,,2003,65952,
Nauru,,2004,65952,
Nauru,,2005,62288,
Nepal,,2000,3038016.77,
Nepal,,2001,3236780.08,
Nepal,,2002,2595084.9,
Nepal,,2003,2810026.37,
Nepal,,2004,2638062.52,
Nepal,,2005,3051599.33,
Netherlands,,2000,171935801,
Netherlands,,2001,177079435,
Netherlands,,2002,176374898,
Netherlands,,2003,179824199,
Netherlands,,2004,181453316,
Netherlands,,2005,177530882,
New Caledonia,,2000,2221558.51,
New Caledonia,,2001,1877678.69,
New Caledonia,,2002,2393410.99,
New Caledonia,,2003,2726657.23,
New Caledonia,,2004,2516127.39,
New Caledonia,,2005,2809044.24,
New Zealand,,2000,32359158.1,
New Zealand,,2001,34582667.7,
New Zealand,,2002,34768718.1,
New Zealand,,2003,36493091.7,
New Zealand,,2004,36064918,
New Zealand,,2005,37647573.6,
Nicaragua,,2000,3721060.93,
Nicaragua,,2001,3922036.8,
Nicaragua,,2002,3990829.14,
Nicaragua,,2003,4335264.84,
Nicaragua,,2004,4378262.48,
Nicaragua,,2005,4269732.95,
Niger,,2000,692703.13,
Niger,,2001,651637.03,
Niger,,2002,694819.35,
Niger,,2003,753360.83,
Niger,,2004,808238.31,
Niger,,2005,708477.48,
Nigeria,,2000,75759957.1,
Nigeria,,2001,85435089.3,
Nigeria,,2002,93396068.3,
Nigeria,,2003,101305635,
Nigeria,,2004,103987657,
Nigeria,,2005,105705834,
Niue,,2000,7328,
Niue,,2001,7328,
Niue,,2002,7328,
Niue,,2003,3664,
Niue,,2004,3664,
Niue,,2005,3664,
North Korea,,2000,69166025.8,
North Korea,,2001,71664953.5,
North Korea,,2002,68642902,
North Korea,,2003,70136492.4,
North Korea,,2004,71721987,
North Korea,,2005,74918706.3,
Norway,,2000,42215885,
Norway,,2001,43559843.2,
Norway,,2002,42667047.6,
Norway,,2003,43921782.2,
Norway,,2004,44337010.6,
Norway,,2005,43560708.1,
Oman,,2000,21739685.1,
Oman,,2001,20105962.4,
Oman,,2002,25234394.8,
Oman,,2003,32027485.1,
Oman,,2004,27591208.3,
Oman,,2005,29466596.2,
Pakistan,,2000,105418374,
Pakistan,,2001,107126192,
Pakistan,,2002,112903645,
Pakistan,,2003,117490718,
Pakistan,,2004,129959475,
Pakistan,,2005,134756237,
Palau,,2000,249152,
Palau,,2001,252816,
Palau,,2002,249152,
Palau,,2003,252816,
Palau,,2004,252816,
Palau,,2005,260144,
Palestine,,2000,1659792,
Palestine,,2001,1348352,
Palestine,,2002,1154160,
Palestine,,2003,1278736,
Palestine,,2004,2194736,
Palestine,,2005,2740672,
Panama,,2000,5717008.83,
Panama,,2001,6939908.47,
Panama,,2002,5807264.59,
Panama,,2003,6075664.84,
Panama,,2004,5711740.96,
Panama,,2005,6741087.17,
Papua New Guinea,,2000,2663728,
Papua New Guinea,,2001,3206000,
Papua New Guinea,,2002,3484464,
Papua New Guinea,,2003,3942464,
Papua New Guinea,,2004,4484736,
Papua New Guinea,,2005,4382144,
Paraguay,,2000,3653883.07,
Paraguay,,2001,3782779.71,
Paraguay,,2002,3868410.93,
Paraguay,,2003,4033861.21,
Paraguay,,2004,4053265.19,
Paraguay,,2005,3788705.8,
Peru,,2000,30078268.1,
Peru,,2001,26928671.7,
Peru,,2002,26930571.4,
Peru,,2003,26104601.1,
Peru,,2004,31555544.6,
Peru,,2005,36733047.1,
Philippines,,2000,72346435.4,
Philippines,,2001,70304563.2,
Philippines,,2002,70155141.9,
Philippines,,2003,70214684.9,
Philippines,,2004,72770752.5,
Philippines,,2005,73271293.8,
Poland,,2000,317097260,
Poland,,2001,313545669,
Poland,,2002,305730544,
Poland,,2003,318415559,
Poland,,2004,322538949,
Poland,,2005,321668846,
Portugal,,2000,66044345.5,
Portugal,,2001,65704175.8,
Portugal,,2002,69556728.5,
Portugal,,2003,64437188.2,
Portugal,,2004,67220525.7,
Portugal,,2005,69497372.1,
Qatar,,2000,34566150.4,
Qatar,,2001,41214534.4,
Qatar,,2002,40701935.8,
Qatar,,2003,41299357,
Qatar,,2004,42710330,
Qatar,,2005,50690079.1,
Reunion,,2000,2857920,
Reunion,,2001,3037456,
Reunion,,2002,3015472,
Reunion,,2003,2975168,
Reunion,,2004,3004480,
Reunion,,2005,3444160,
Romania,,2000,93538381.8,
Romania,,2001,98877063.5,
Romania,,2002,99151878.2,
Romania,,2003,103576693,
Romania,,2004,102874430,
Romania,,2005,100966617,
Russia,,2000,1499616209,
Russia,,2001,1538244400,
Russia,,2002,1528961747,
Russia,,2003,1562472351,
Russia,,2004,1570864198,
Russia,,2005,1588662864,
Rwanda,,2000,520702.27,
Rwanda,,2001,522842.06,
Rwanda,,2002,521270.7,
Rwanda,,2003,510113.66,
Rwanda,,2004,517276.63,
Rwanda,,2005,517111.59,
Saint Helena,,2000,10992,
Saint Helena,,2001,10992,
Saint Helena,,2002,10992,
Saint Helena,,2003,10992,
Saint Helena,,2004,10992,
Saint Helena,,2005,10992,
Saint Kitts and Nevis,,2000,172208,
Saint Kitts and Nevis,,2001,175872,
Saint Kitts and Nevis,,2002,197856,
Saint Kitts and Nevis,,2003,197856,
Saint Kitts and Nevis,,2004,212512,
Saint Kitts and Nevis,,2005,197856,
Saint Lucia,,2000,329760,
Saint Lucia,,2001,362736,
Saint Lucia,,2002,326096,
Saint Lucia,,2003,359072,
Saint Lucia,,2004,355408,
Saint Lucia,,2005,366400,
Saint Pierre and Miquelon,,2000,54960,
Saint Pierre and Miquelon,,2001,54960,
Saint Pierre and Miquelon,,2002,58624,
Saint Pierre and Miquelon,,2003,65952,
Saint Pierre and Miquelon,,2004,62288,
Saint Pierre and Miquelon,,2005,65952,
Saint Vincent and the Grenadines,,2000,146560,
Saint Vincent and the Grenadines,,2001,179536,
Saint Vincent and the Grenadines,,2002,186864,
Saint Vincent and the Grenadines,,2003,197856,
Saint Vincent and the Grenadines,,2004,219840,
Saint Vincent and the Grenadines,,2005,219840,
Samoa,,2000,142896,
Samoa,,2001,146560,
Samoa,,2002,146560,
Samoa,,2003,153888,
Samoa,,2004,150224,
Samoa,,2005,161216,
Sao Tome and Principe,,2000,47632,
Sao Tome and Principe,,2001,51296,
Sao Tome and Principe,,2002,58624,
Sao Tome and Principe,,2003,65952,
Sao Tome and Principe,,2004,73280,
Sao Tome and Principe,,2005,76944,
Saudi Arabia,,2000,296353321,
Saudi Arabia,,2001,296574891,
Saudi Arabia,,2002,325681177,
Saudi Arabia,,2003,326517114,
Saudi Arabia,,2004,394584794,
Saudi Arabia,,2005,395854760,
Senegal,,2000,3809306.06,
Senegal,,2001,4180223.21,
Senegal,,2002,4345856.24,
Senegal,,2003,4804898.17,
Senegal,,2004,4988506.8,
Senegal,,2005,5539577.5,
Serbia,,2000,39380545.6,
Serbia,,2001,42277557.6,
Serbia,,2002,45173016.8,
Serbia,,2003,48298465.1,
Serbia,,2004,52737826.3,
Serbia,,2005,49879228.7,
Seychelles,,2000,571584,
Seychelles,,2001,633872,
Seychelles,,2002,538608,
Seychelles,,2003,549600,
Seychelles,,2004,736464,
Seychelles,,2005,688832,
Sierra Leone,,2000,388384,
Sierra Leone,,2001,512960,
Sierra Leone,,2002,534944,
Sierra Leone,,2003,567920,
Sierra Leone,,2004,553264,
Sierra Leone,,2005,461664,
Singapore,,2000,48856301.1,
Singapore,,2001,49442096.4,
Singapore,,2002,47172700.6,
Singapore,,2003,31092573.2,
Singapore,,2004,28450960,
Singapore,,2005,30334256,
Sint Maarten (Dutch part),,2000,557729.44,
Sint Maarten (Dutch part),,2001,567929.59,
Sint Maarten (Dutch part),,2002,547529.29,
Sint Maarten (Dutch part),,2003,547893.58,
Sint Maarten (Dutch part),,2004,574851.11,
Sint Maarten (Dutch part),,2005,569751.04,
Slovakia,,2000,41533153.3,
Slovakia,,2001,43836558.6,
Slovakia,,2002,42051490.7,
Slovakia,,2003,42426775.2,
Slovakia,,2004,42991163.8,
Slovakia,,2005,42907487.3,
Slovenia,,2000,15430093.6,
Slovenia,,2001,16363297,
Slovenia,,2002,16508204,
Slovenia,,2003,16270134.6,
Slovenia,,2004,16630663.6,
Slovenia,,2005,16928806.6,
Solomon Islands,,2000,150224,
Solomon Islands,,2001,157552,
Solomon Islands,,2002,157552,
Solomon Islands,,2003,161216,
Solomon Islands,,2004,161216,
Solomon Islands,,2005,161216,
Somalia,,2000,479984,
Somalia,,2001,501968,
Somalia,,2002,586240,
Somalia,,2003,593568,
Somalia,,2004,593568,
Somalia,,2005,593568,
South Africa,,2000,377730906,
South Africa,,2001,371140576,
South Africa,,2002,355454058,
South Africa,,2003,403235268,
South Africa,,2004,448539068,
South Africa,,2005,415050850,
South Korea,,2000,445440884,
South Korea,,2001,448550576,
South Korea,,2002,463628014,
South Korea,,2003,462407318,
South Korea,,2004,478605781,
South Korea,,2005,459345664,
South Sudan,,2000,460748,
South Sudan,,2001,530364,
South Sudan,,2002,676008,
South Sudan,,2003,755394.67,
South Sudan,,2004,954472,
South Sudan,,2005,914473.33,
Spain,,2000,311926059,
Spain,,2001,313891994,
Spain,,2002,334007116,
Spain,,2003,337979233,
Spain,,2004,354285656,
Spain,,2005,368964133,
Sri Lanka,,2000,10133816.8,
Sri Lanka,,2001,10327266.1,
Sri Lanka,,2002,10946683.2,
Sri Lanka,,2003,10952128.2,
Sri Lanka,,2004,12146168.8,
Sri Lanka,,2005,11935194.1,
Statistical differences,,2000,-625522257,
Statistical differences,,2001,-271153714,
Statistical differences,,2002,-470695646,
Statistical differences,,2003,-364016571,
Statistical differences,,2004,-325533729,
Statistical differences,,2005,-212372214,
Sudan,,2000,5528976,
Sudan,,2001,6364368,
Sudan,,2002,8112096,
Sudan,,2003,9064736,
Sudan,,2004,11453664,
Sudan,,2005,10973680,
Suriname,,2000,2191817.73,
Suriname,,2001,2363353.38,
Suriname,,2002,1560629.81,
Suriname,,2003,1538338.24,
Suriname,,2004,1556350.67,
Suriname,,2005,1589019.1,
Swaziland,,2000,1187136,
Swaziland,,2001,1143168,
Swaziland,,2002,1124848,
Swaziland,,2003,1040576,
Swaziland,,2004,1029584,
Swaziland,,2005,1018592,
Sweden,,2000,54724980.5,
Sweden,,2001,55682290.7,
Sweden,,2002,56641312.8,
Sweden,,2003,57224353.6,
Sweden,,2004,56443340.6,
Sweden,,2005,53843310.6,
Switzerland,,2000,43611917.3,
Switzerland,,2001,45075797.2,
Switzerland,,2002,43458527.1,
Switzerland,,2003,44644101.2,
Switzerland,,2004,45228284.2,
Switzerland,,2005,45779837.8,
Syria,,2000,50481494.9,
Syria,,2001,48140692.1,
Syria,,2002,38438581.2,
Syria,,2003,53581372.1,
Syria,,2004,50384626.2,
Syria,,2005,49880827.8,
Taiwan,,2000,217185726,
Taiwan,,2001,226210538,
Taiwan,,2002,235733787,
Taiwan,,2003,244506472,
Taiwan,,2004,258455614,
Taiwan,,2005,257108096,
Tajikistan,,2000,2232073.97,
Tajikistan,,2001,2285489.34,
Tajikistan,,2002,1872934.22,
Tajikistan,,2003,2062191.54,
Tajikistan,,2004,2547275.25,
Tajikistan,,2005,2421168.61,
Tanzania,,2000,2570946.82,
Tanzania,,2001,3039606.28,
Tanzania,,2002,3486963,
Tanzania,,2003,3686227.12,
Tanzania,,2004,4231656.34,
Tanzania,,2005,5360105.39,
Thailand,,2000,179263990,
Thailand,,2001,192377279,
Thailand,,2002,205776033,
Thailand,,2003,221916442,
Thailand,,2004,240241705,
Thailand,,2005,244303940,
Timor,,2002,161216,
Timor,,2003,161216,
Timor,,2004,175872,
Timor,,2005,175872,
Togo,,2000,1331372,
Togo,,2001,1158913,
Togo,,2002,1322471,
Togo,,2003,1804731,
Togo,,2004,1743929,
Togo,,2005,1721591,
Tonga,,2000,95264,
Tonga,,2001,87936,
Tonga,,2002,102592,
Tonga,,2003,117248,
Tonga,,2004,109920,
Tonga,,2005,113584,
Trinidad and Tobago,,2000,23766073.6,
Trinidad and Tobago,,2001,26280582.5,
Trinidad and Tobago,,2002,28539297.1,
Trinidad and Tobago,,2003,31898734.6,
Trinidad and Tobago,,2004,33339965.6,
Trinidad and Tobago,,2005,38060246.4,
Tunisia,,2000,19670323.9,
Tunisia,,2001,20545273.5,
Tunisia,,2002,20558628.4,
Tunisia,,2003,20925447,
Tunisia,,2004,21926580.7,
Tunisia,,2005,22268684.7,
Turkey,,2000,226029843,
Turkey,,2001,209529145,
Turkey,,2002,217652913,
Turkey,,2003,232963019,
Turkey,,2004,241909221,
Turkey,,2005,260897955,
Turkmenistan,,2000,37465591.8,
Turkmenistan,,2001,37999761.3,
Turkmenistan,,2002,39889610.7,
Turkmenistan,,2003,44520132.2,
Turkmenistan,,2004,46447085.2,
Turkmenistan,,2005,48231551.3,
Turks and Caicos Islands,,2000,69616,
Turks and Caicos Islands,,2001,73280,
Turks and Caicos Islands,,2002,98928,
Turks and Caicos Islands,,2003,102592,
Turks and Caicos Islands,,2004,102592,
Turks and Caicos Islands,,2005,120912,
Tuvalu,,2000,7328,
Tuvalu,,2001,7328,
Tuvalu,,2002,10992,
Tuvalu,,2003,10992,
Tuvalu,,2004,10992,
Tuvalu,,2005,10992,
Uganda,,2000,1394391.33,
Uganda,,2001,1468081.46,
Uganda,,2002,1507868.45,
Uganda,,2003,1547359.05,
Uganda,,2004,1680607.97,
Uganda,,2005,2104560.9,
Ukraine,,2000,279537843,
Ukraine,,2001,301300733,
Ukraine,,2002,294199978,
Ukraine,,2003,305183445,
Ukraine,,2004,306255429,
Ukraine,,2005,313533700,
United Arab Emirates,,2000,111788067,
United Arab Emirates,,2001,100602944,
United Arab Emirates,,2002,83745587.7,
United Arab Emirates,,2003,105677098,
United Arab Emirates,,2004,111867461,
United Arab Emirates,,2005,114554437,
United Kingdom,,2000,567061452,
United Kingdom,,2001,575927500,
United Kingdom,,2002,560040954,
United Kingdom,,2003,571600969,
United Kingdom,,2004,573203765,
United Kingdom,,2005,570001050,
United States,,2000,6000606067,
United States,,2001,5902454993,
United States,,2002,5943651279,
United States,,2003,5991319569,
United States,,2004,6106620735,
United States,,2005,6132005704,
Uruguay,,2000,5267153.59,
Uruguay,,2001,5030575.82,
Uruguay,,2002,4557734,
Uruguay,,2003,4527831.12,
Uruguay,,2004,5563795.56,
Uruguay,,2005,5725804.9,
Uzbekistan,,2000,121455636,
Uzbekistan,,2001,123040688,
Uzbekistan,,2002,127943388,
Uzbekistan,,2003,126437996,
Uzbekistan,,2004,125719050,
Uzbekistan,,2005,116894940,
Vanuatu,,2000,84272,
Vanuatu,,2001,87936,
Vanuatu,,2002,84272,
Vanuatu,,2003,84272,
Vanuatu,,2004,58624,
Vanuatu,,2005,58624,
Venezuela,,2000,151871028,
Venezuela,,2001,171974193,
Venezuela,,2002,192746410,
Venezuela,,2003,191456698,
Venezuela,,2004,151267985,
Venezuela,,2005,164537976,
Vietnam,,2000,52332095.7,
Vietnam,,2001,59529184.8,
Vietnam,,2002,68661255.3,
Vietnam,,2003,76276942.8,
Vietnam,,2004,87800153.1,
Vietnam,,2005,94859056.2,
Wallis and Futuna Islands,,2001,14656,
Wallis and Futuna Islands,,2002,25648,
Wallis and Futuna Islands,,2003,25648,
Wallis and Futuna Islands,,2004,25648,
Wallis and Futuna Islands,,2005,29312,
World,,2000,24559000000,
World,,2001,25138000000,
World,,2002,25494000000,
World,,2003,26867000000,
World,,2004,28188000000,
World,,2005,29255000000,
Yemen,,2000,14474213.9,
Yemen,,2001,16016670.5,
Yemen,,2002,15553532.4,
Yemen,,2003,17082499.4,
Yemen,,2004,18646238.4,
Yemen,,2005,19794843.1,
Zambia,,2000,1785056.59,
Zambia,,2001,1884888.31,
Zambia,,2002,1960060.55,
Zambia,,2003,2075580.56,
Zambia,,2004,2104298.08,
Zambia,,2005,2242067.41,
Zimbabwe,,2000,13818181.2,
Zimbabwe,,2001,12509195.4,
Zimbabwe,,2002,11897006.1,
Zimbabwe,,2003,10608340.1,
Zimbabwe,,2004,9428548.18,
Zimbabwe,,2005,10699642.2,