Country,,,lat,lng,type,measure,beds,population,year,source,source_url
AD,,,42.5,1.5,ICU,1000HAB,0.071,83747,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
AD,,,42.5,1.5,TOTAL,1000HAB,2.5,84463,2009,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AE,,,24,54,TOTAL,1000HAB,1.2,9197910,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AF,,,33,65,TOTAL,1000HAB,0.5,34413603,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AG,,,17.05,-61.8,TOTAL,1000HAB,3.8,92562,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AL,,,41,20,TOTAL,1000HAB,2.9,2895092,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AM,,,40,45,TOTAL,1000HAB,4.2,2925553,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AO,,,-12.5,18.5,TOTAL,1000HAB,0.8,19433602,2005,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AR,,,-34,-64,TOTAL,1000HAB,5,42669500,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AT,,,47.33,13.33,ACUTE,1000HAB,5.45,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,ICU,1000HAB,0.218,8375000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
AT,,,47.33,13.33,PSYCHIATRIC,1000HAB,0.61,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,TOTAL,1000HAB,7.37,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AU,,,-27,133,PSYCHIATRIC,1000HAB,0.42,24190907,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AU,,,-27,133,TOTAL,1000HAB,3.84,24190907,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AZ,,,40.5,47.5,TOTAL,1000HAB,4.7,9416801,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BA,,,44,18,TOTAL,1000HAB,3.5,3542605,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BB,,,13.17,-59.53,TOTAL,1000HAB,5.8,284825,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BD,,,24,90,ICU,1000HAB,0.007,159700000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
BD,,,24,90,TOTAL,1000HAB,0.8,156256276,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BE,,,50.83,4,ACUTE,1000HAB,4.98,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4,ICU,1000HAB,0.159,11000000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
BE,,,50.83,4,PSYCHIATRIC,1000HAB,1.36,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4,TOTAL,1000HAB,5.64,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BF,,,13,-2,TOTAL,1000HAB,0.4,15605217,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BG,,,43,25,ACUTE,1000HAB,6.1682,7075947,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
BG,,,43,25,ICU,1000HAB,0.122,7369000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
BG,,,43,25,TOTAL,1000HAB,6.8,7265115,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BH,,,26,50.55,TOTAL,1000HAB,2,1336075,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BI,,,-3.5,30,TOTAL,1000HAB,0.8,9844297,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BJ,,,9.5,2.25,TOTAL,1000HAB,0.5,9199259,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BM,,,32.33,-64.75,TOTAL,1000HAB,6.3,60129,1996,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BN,,,4.5,114.67,ICU,1000HAB,0.131,424473,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
BN,,,4.5,114.67,TOTAL,1000HAB,2.7,414907,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BO,,,-17,-65,TOTAL,1000HAB,1.1,10706517,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BR,,,-10,-55,ICU,1000HAB,0.210581,210147125,2018,ibge,https://www.kaggle.com/thiagobodruk/brazilianstates
BR,,,-10,-55,TOTAL,1000HAB,2.2,202800000,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BS,,,24.25,-76,TOTAL,1000HAB,2.9,367168,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BT,,,27.5,90.5,TOTAL,1000HAB,1.8,701583,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BW,,,-22,24,TOTAL,1000HAB,1.8,1987105,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BY,,,53,28,TOTAL,1000HAB,11,9465997,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BZ,,,17.25,-88.75,TOTAL,1000HAB,1.3,353366,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CA,,,60,-95,ACUTE,1000HAB,1.95,37057765,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CA,,,60,-95,PSYCHIATRIC,1000HAB,0.34,37057765,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CA,,,60,-95,TOTAL,1000HAB,2.5,37057765,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CD,,,0,25,TOTAL,1000HAB,0.8,56578037,2006,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CF,,,7,21,TOTAL,1000HAB,1,4418636,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CG,,,-1,15,TOTAL,1000HAB,1.6,3622775,2005,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CH,,,47,8,ACUTE,1000HAB,3.56,8451840,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CH,,,47,8,ICU,1000HAB,0.11,7870134,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
CH,,,47,8,PSYCHIATRIC,1000HAB,0.93,8451840,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CH,,,47,8,TOTAL,1000HAB,4.53,8451840,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CI,,,8,-5,TOTAL,1000HAB,0.4,18754916,2006,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CL,,,-30,-71,ACUTE,1000HAB,1.99,18470439,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CL,,,-30,-71,PSYCHIATRIC,1000HAB,0.1,18470439,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CL,,,-30,-71,TOTAL,1000HAB,2.11,18470439,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CM,,,6,12,TOTAL,1000HAB,1.3,20341241,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CN,,,35,105,ICU,1000HAB,0.036,1386000000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
CN,,,35,105,TOTAL,1000HAB,4.34,1386000000,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CO,,,4,-72,TOTAL,1000HAB,1.71,49650000,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CR,,,10,-84,TOTAL,1000HAB,1.13,4949954,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CU,,,21.5,-80,TOTAL,1000HAB,5.2,11306902,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CV,,,16,-24,TOTAL,1000HAB,2.1,492654,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CY,,,35,33,ACUTE,1000HAB,3.3996,1179680,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
CY,,,35,33,ICU,1000HAB,0.114,838897,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
CY,,,35,33,TOTAL,1000HAB,3.4,1143866,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
CZ,,,49.75,15.5,ACUTE,1000HAB,4.11,10594438,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CZ,,,49.75,15.5,ICU,1000HAB,0.116,10560000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
CZ,,,49.75,15.5,PSYCHIATRIC,1000HAB,0.94,10594438,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
CZ,,,49.75,15.5,TOTAL,1000HAB,6.63,10594438,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DE,,,51,9,ACUTE,1000HAB,6.02,82657002,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DE,,,51,9,ICU,1000HAB,0.431843,82175684,2017,kaggle,https://www.kaggle.com/manuelblechschmidt/icu-beds-in-germany
DE,,,51,9,PSYCHIATRIC,1000HAB,1.28,82657002,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DE,,,51,9,TOTAL,1000HAB,8,82657002,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DJ,,,11.5,43,TOTAL,1000HAB,1.4,898696,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
DK,,,56,10,ACUTE,1000HAB,2.42,5793636,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DK,,,56,10,ICU,1000HAB,0.067,5580516,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
DK,,,56,10,PSYCHIATRIC,1000HAB,0.47,5793636,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DK,,,56,10,TOTAL,1000HAB,2.5,5793636,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
DM,,,15.42,-61.33,TOTAL,1000HAB,3.8,70965,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
DO,,,19,-70.67,TOTAL,1000HAB,1.6,10165178,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
DZ,,,28,3,TOTAL,1000HAB,1.9,39728025,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
EC,,,-2,-77.5,TOTAL,1000HAB,1.5,15707474,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
EE,,,59,26,ACUTE,1000HAB,3.45,1317384,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
EE,,,59,26,ICU,1000HAB,0.146,1294455,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
EE,,,59,26,PSYCHIATRIC,1000HAB,0.53,1317384,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
EE,,,59,26,TOTAL,1000HAB,4.69,1317384,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
EG,,,27,30,TOTAL,1000HAB,1.6,90424654,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
ER,,,15,39,TOTAL,1000HAB,0.7,3213972,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
ES,,,40,-4,ACUTE,1000HAB,2.43,46593236,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ES,,,40,-4,ICU,1000HAB,0.103085,46670000,2011,medintensiva,https://www.medintensiva.org/en-pdf-S2173572713000878
ES,,,40,-4,PSYCHIATRIC,1000HAB,0.36,46593236,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ES,,,40,-4,TOTAL,1000HAB,2.97,46593236,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ET,,,8,38,TOTAL,1000HAB,0.3,100835458,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
FI,,,64,26,ACUTE,1000HAB,2.8,5508214,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FI,,,64,26,ICU,1000HAB,0.061,5375000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
FI,,,64,26,PSYCHIATRIC,1000HAB,0.39,5508214,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FI,,,64,26,TOTAL,1000HAB,3.28,5508214,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FJ,,,-18,175,TOTAL,1000HAB,2.3,863449,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
FM,,,6.92,158.25,TOTAL,1000HAB,3.2,102975,2009,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
FR,,,46,2,ACUTE,1000HAB,3.0901,66865144,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
FR,,,46,2,ICU,1000HAB,0.116,64930000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
FR,,,46,2,PSYCHIATRIC,1000HAB,0.84,66865144,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
FR,,,46,2,TOTAL,1000HAB,5.98,66865144,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GA,,,-1,11.75,TOTAL,1000HAB,6.3,1624140,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GB,,,54,-2,ACUTE,1000HAB,2.114,66058859,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
GB,,,54,-2,ICU,1000HAB,0.066,63020000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
GB,,,54,-2,PSYCHIATRIC,1000HAB,0.38,66058859,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GB,,,54,-2,TOTAL,1000HAB,2.54,66058859,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GD,,,12.12,-61.67,TOTAL,1000HAB,3.7,108902,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GE,,,42,43.5,TOTAL,1000HAB,2.6,3717668,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GH,,,8,-2,TOTAL,1000HAB,0.9,25387710,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GL,,,72,-40,TOTAL,1000HAB,14.3534,46400,1970,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
GM,,,13.47,-16.57,TOTAL,1000HAB,1.1,1848147,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GN,,,11,-10,TOTAL,1000HAB,0.3,10420471,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GQ,,,2,10,TOTAL,1000HAB,2.1,943639,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GR,,,39,22,ACUTE,1000HAB,3.6028,10754679,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
GR,,,39,22,ICU,1000HAB,0.06,11120000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
GR,,,39,22,PSYCHIATRIC,1000HAB,0.74,10754679,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GR,,,39,22,TOTAL,1000HAB,4.21,10754679,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
GT,,,15.5,-90.25,TOTAL,1000HAB,0.6,15923243,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GW,,,12,-15,TOTAL,1000HAB,1,1483921,2009,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
GY,,,5,-59,TOTAL,1000HAB,1.6,763380,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
HK,,,22.25,114.17,ICU,1000HAB,0.071,7392000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
HK,,,22.25,114.17,TOTAL,1000HAB,4.8909,5456200,1985,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
HN,,,15,-86.5,TOTAL,1000HAB,0.7,8955589,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
HR,,,45.17,15.5,ACUTE,1000HAB,3.505,4124531,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
HR,,,45.17,15.5,ICU,1000HAB,0.147,4290000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
HR,,,45.17,15.5,TOTAL,1000HAB,5.6,4203604,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
HT,,,19,-72.42,TOTAL,1000HAB,0.7,10400673,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
HU,,,47,20,ACUTE,1000HAB,4.2709,9787966,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
HU,,,47,20,ICU,1000HAB,0.138,9937628,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
HU,,,47,20,PSYCHIATRIC,1000HAB,0.87,9787966,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
HU,,,47,20,TOTAL,1000HAB,7.02,9787966,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ID,,,-5,120,ICU,1000HAB,0.027,264600000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
ID,,,-5,120,TOTAL,1000HAB,1.04,264645886,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IE,,,53,-8,ACUTE,1000HAB,2.77,4807388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IE,,,53,-8,ICU,1000HAB,0.065,4571000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
IE,,,53,-8,PSYCHIATRIC,1000HAB,0.34,4807388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IE,,,53,-8,TOTAL,1000HAB,2.96,4807388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IL,,,31.5,34.75,ACUTE,1000HAB,2.19,8882800,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IL,,,31.5,34.75,PSYCHIATRIC,1000HAB,0.4,8882800,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IL,,,31.5,34.75,TOTAL,1000HAB,2.99,8882800,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IN,,,20,77,ICU,1000HAB,0.023,1339000000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
IN,,,20,77,TOTAL,1000HAB,0.53,1339000000,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IQ,,,33,44,TOTAL,1000HAB,1.4,34411951,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
IR,,,32,53,ICU,1000HAB,0.046,80670000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
IR,,,32,53,TOTAL,1000HAB,1.5,77465753,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
IS,,,65,-18,ACUTE,1000HAB,2.37,352721,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IS,,,65,-18,ICU,1000HAB,0.091,319575,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
IS,,,65,-18,PSYCHIATRIC,1000HAB,0.37,352721,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IS,,,65,-18,TOTAL,1000HAB,2.91,352721,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IT,,,42.83,12.83,ACUTE,1000HAB,2.6247,60536709,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
IT,,,42.83,12.83,ICU,1000HAB,0.084324,60480876,2020,gelocal.it,https://lanuovaferrara.gelocal.it/italia-mondo/cronaca/2020/03/19/news/dietro-la-corsa-a-nuovi-posti-in-terapia-intensiva-gli-errori-del-passato-1.38611596
IT,,,42.83,12.83,PSYCHIATRIC,1000HAB,0.09,60536709,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
IT,,,42.83,12.83,TOTAL,1000HAB,3.18,60536709,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
JM,,,18.25,-77.5,TOTAL,1000HAB,1.7,2858709,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
JO,,,31,36,TOTAL,1000HAB,1.4,9266575,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
JP,,,36,138,ACUTE,1000HAB,7.79,126785797,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
JP,,,36,138,ICU,1000HAB,0.073,126800000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
JP,,,36,138,PSYCHIATRIC,1000HAB,2.62,126785797,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
JP,,,36,138,TOTAL,1000HAB,13.05,126785797,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
KE,,,1,38,TOTAL,1000HAB,1.4,42030676,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KG,,,41,75,TOTAL,1000HAB,4.5,5719600,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KH,,,13,105,TOTAL,1000HAB,0.8,15521436,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KI,,,1.42,173,TOTAL,1000HAB,1.9,110930,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KM,,,-12.17,44.25,TOTAL,1000HAB,2.2,689692,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KN,,,17.33,-62.75,TOTAL,1000HAB,2.3,49887,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KP,,,40,127,TOTAL,1000HAB,13.2,24800612,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
KR,,,37,127.5,ACUTE,1000HAB,7.14,51361911,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
KR,,,37,127.5,ICU,1000HAB,0.106,51470000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
